rank,singer,song,time
1,Christine Welch , 一百万个可能,4:35
2,火箭少女101 , 卡路里,3:52
3,小潘潘、小峰峰 , 学猫叫,3:29
4,洛晴 , 可能否,3:25
5,阿里郎 , 隔壁泰山,3:19
6,九局 , 我已经爱上你,1:32
7,王大毛 , 去年夏天,4:05
8,王北车 , 陷阱,4:40
9,杨凯莉 , 让我做你的眼睛,1:46
10,Olly Murs , That Girl,2:57
11,洛天依、跟风社 , 一百万个可能,3:26
12,于文文 , 体面,4:42
13,庄心妍 , 再见只是陌生人,4:12
14,曾惜 , 讲真的,3:59
15,Fitz & The Tantrums , HandClap,3:13
16,刘子璇 , 嘴巴嘟嘟,4:08
17,胡66、单色凌 , 浪人琵琶,3:44
18,烟把儿乐队 , 纸短情长 (完整版),2:53
19,张北北 , 拥抱你离去,4:02
20,大张伟 , 我怎么这么好看,3:00
21,杨坤、郭采洁 , 答案,3:51
22,周笔畅 , 最美的期待,3:30
23,萧全 , 海草舞,4:37
24,蔡健雅 , 越来越不懂,4:07
25,袁娅维 , 说散就散,4:02
26,孙语赛、萧全 , 不仅仅是喜欢,3:48
27,青蛙 , 小跳蛙,2:28
28,胡66 , 空空如也,3:31
29,旭日阳刚刘刚 , 怀念青春,4:28
30,胡彦斌 , 你要的全拿走,4:59
31,Alan Walker、Iselin Solheim , Faded,3:33
32,大壮 , 我们不一样,4:31
33,新乐尘符 , 123我爱你,3:19
34,杨宗纬、张碧晨 , 凉凉,5:33
35,广东雨神 , 广东爱情故事,3:34
36,白小白 , 最美婚礼,3:57
37,李袁杰 , 离人愁,4:08
38,刀郎 , 西海情歌,5:43
39,白小白 , 最后我们没在一起,3:19
40,黑龙 , 38度6,3:11
41,蒙面哥 , 我已经爱上你,3:21
42,林俊杰 , 醉赤壁,4:41
43,李伊曼 , 我已经爱上你 (女版),2:28
44,梦涵 , 爱的故事上集,4:49
45,洛天依、跟风社 , 98k,3:16
46,The Chainsmokers、Coldplay , Something Just Like This,4:07
47,莫籽、Neko(4) , 盗将行,3:18
48,陆虎 , 雪落下的声音,5:11
49,毛不易 , 消愁 (Live),2:59
50,赵雷 , 成都,5:28
51,BEYOND , 海阔天空,5:22
52,筷子兄弟 , 小苹果,3:31
53,王琪 , 情人迷,4:34
54,李玉刚 , 刚好遇见你,3:19
55,纳兰珠儿、高安 , 花桥流水,3:34
56,康树龙 , 魔鬼中的天使 (Live),3:58
57,赖鸿根 , 香蜜沉沉烬如霜,4:41
58,东方晴儿 , 再见吧我最爱的你,3:54
59,麦小兜 , 9420,3:49
60,萧亚轩 , 突然想起你,3:53
61,秋裤大叔 , 一晃就老了,4:15
62,JC陈泳彤 , 说散就散,3:51
63,封茗囧菌 , 越来越不懂,3:33
64,周杰伦 , 告白气球,3:36
65,摩登兄弟 , 光年之外 (Live),3:56
66,金志文、徐佳莹 , 远走高飞 (合唱版),3:55
67,岑宁儿 , 追光者,3:55
68,孙耀威 , 爱的故事(上集),3:59
69,G.G , 小可爱与小领带,3:25
70,沈月、王鹤棣、官鸿、梁靖康、吴希泽 , 玩具奇缘 (Live),9:31
71,鞠文娴 , BINGBIAN病变 (女声版),4:07
72,毛不易 , 牧马城市,4:18
73,凤飞飞 , 追梦人,3:52
74,汪苏泷、By2 , 有点甜,3:55
75,秦岚 , 雪落下的声音,5:05
76,6诗人 , 卡布奇诺,3:04
77,王建荣 , 听心,4:05
78,校长 , 带你去旅行,3:46
79,袁江 , 往后余生,2:56
80,Various Artists , Handclap (枪声版),1:55
81,JelloRio李佳隆、艾热 , 星球坠落,2:48
82,李袁杰 , 醉千年,3:40
83,陈粒 , 走马,3:57
84,曾轶可 , 私奔,6:02
85,ラムジ , PLANET,4:08
86,BEYOND , 光辉岁月,5:01
87,Vicetone、Cozi Zuehlsdorff , Nevada,3:28
88,冯提莫 , 佛系少女,3:14
89,降央卓玛 , 西海情歌,5:02
90,Ed Sheeran , Shape of You,3:53
91,曲肖冰 , 卡布奇诺,2:58
92,姜玉阳 , 回忆总想哭,4:51
93,大壮 , 差一步,4:05
94,王力宏 , 需要人陪,4:09
95,王奕心 , 我的唇吻不到我爱的人,4:39
96,毛不易 , 像我这样的人 (Live),3:12
97,邵雨薇 , 星月,3:46
98,海鸣威 , 一个人的北京,3:26
99,朴树 , 平凡之路 (Live),5:04
100,刘若英 , 后来,5:41
101,家家 , 去年夏天,3:56
102,简弘亦 , 你一定要幸福,4:28
103,梦然 , 没有你陪伴真的好孤单,4:44
104,张杰 , 逆战,3:49
105,卓依婷 , 捉泥鳅,2:35
106,简弘亦 , 不染,5:25
107,薛之谦 , 演员,4:21
108,刘珂矣 , 风筝误,3:58
109,庾澄庆 , 情非得已,4:34
110,陈慧娴 , 千千阕歌,5:00
111,刘旭阳 , 流浪的子弹,4:00
112,BEYOND , 真的爱你,4:38
113,TFBOYS , 喜欢你,3:35
114,白小白 , 我们终究是错过,3:40
115,Achim Reichel , Aloha Heja He,4:02
116,王鹤棣、官鸿、梁靖康、吴希泽 , For You,3:32
117,欧阳朵、小小浩 , 落单恋人,4:01
118,谭艳 , 光明,5:26
119,Sia , Move Your Body (Alan Walker Remix),3:38
120,G.E.M.邓紫棋 , 我的秘密,4:10
121,丁当 , 猜不透,3:53
122,叶炫清 , 九张机,3:40
123,G.G , 给陌生的你听,3:16
124,白小白 , 最美情侣,4:02
125,韩宝仪 , 粉红色的回忆,3:49
126,姜玉阳 , 忘不掉的伤,4:10
